фраза	частота_мес	группа
где подавать декларацию	1922	01 Общие (заполнить/подать 3-НДФЛ)
где подать декларацию	1922	01 Общие (заполнить/подать 3-НДФЛ)
декларация по налогу форма 3 ндфл	1886	01 Общие (заполнить/подать 3-НДФЛ)
возврат удержанного ндфл	1882	01 Общие (заполнить/подать 3-НДФЛ)
возврат ндфл сотрудником	1866	01 Общие (заполнить/подать 3-НДФЛ)
заполнить 3 ндфл при продаже	1791	01 Общие (заполнить/подать 3-НДФЛ)
возврат ндфл с 01.01 2026	1788	01 Общие (заполнить/подать 3-НДФЛ)
налоговые декларации подаваемые налогоплательщиками	1775	01 Общие (заполнить/подать 3-НДФЛ)
виды деклараций 3 ндфл	1742	01 Общие (заполнить/подать 3-НДФЛ)
возврат ндфл за покупку	1738	01 Общие (заполнить/подать 3-НДФЛ)
возврат подоходного налога в году	1737	01 Общие (заполнить/подать 3-НДФЛ)
нужна ли декларация 3 ндфл	1710	01 Общие (заполнить/подать 3-НДФЛ)
декларация 2026 налоговый вычет	1703	01 Общие (заполнить/подать 3-НДФЛ)
когда нужно подавать декларацию	1692	01 Общие (заполнить/подать 3-НДФЛ)
подать декларацию электронно	1690	01 Общие (заполнить/подать 3-НДФЛ)
что значит декларация 3 ндфл	1667	01 Общие (заполнить/подать 3-НДФЛ)
декларация 3 ндфл сколько	1659	01 Общие (заполнить/подать 3-НДФЛ)
заполнить 3 ндфл по процентам	1651	01 Общие (заполнить/подать 3-НДФЛ)
2 декларации 3 ндфл	1647	01 Общие (заполнить/подать 3-НДФЛ)
как правильно заполнить 3 ндфл	1636	01 Общие (заполнить/подать 3-НДФЛ)
как правильно подавать декларацию	1636	01 Общие (заполнить/подать 3-НДФЛ)
как правильно подать декларацию	1636	01 Общие (заполнить/подать 3-НДФЛ)
декларация 2024 подать	1629	01 Общие (заполнить/подать 3-НДФЛ)
декларация 3 ндфл приложение	1619	01 Общие (заполнить/подать 3-НДФЛ)
подать налоговую декларацию 2026	1616	01 Общие (заполнить/подать 3-НДФЛ)
правильная декларация 3 ндфл	1608	01 Общие (заполнить/подать 3-НДФЛ)
возврат ндфл в 2026 году	1585	01 Общие (заполнить/подать 3-НДФЛ)
подать декларацию физическому лицу	1584	01 Общие (заполнить/подать 3-НДФЛ)
заполнить декларацию 3 ндфл в налогоплательщике	1576	01 Общие (заполнить/подать 3-НДФЛ)
сумма налогового вычета в 2026 году	1572	01 Общие (заполнить/подать 3-НДФЛ)
заполнение налоговой декларации 3 ндфл	1562	01 Общие (заполнить/подать 3-НДФЛ)
можно ли подать декларацию на вычет	1542	01 Общие (заполнить/подать 3-НДФЛ)
если не подам декларацию что будет	1527	01 Общие (заполнить/подать 3-НДФЛ)
номер декларации 3 ндфл	1520	01 Общие (заполнить/подать 3-НДФЛ)
как подать декларацию на проценты	1518	01 Общие (заполнить/подать 3-НДФЛ)
налоговая декларация 3 ндфл 2025	1516	01 Общие (заполнить/подать 3-НДФЛ)
процент налогового вычета в 2026	1511	01 Общие (заполнить/подать 3-НДФЛ)
подать декларацию документы	1506	01 Общие (заполнить/подать 3-НДФЛ)
максимальный налоговый вычет 2026	1504	01 Общие (заполнить/подать 3-НДФЛ)
декларация 3 ндфл заполнение вычет	1501	01 Общие (заполнить/подать 3-НДФЛ)
как подать декларацию 3 ндфл через личный	1486	01 Общие (заполнить/подать 3-НДФЛ)
декларация 3 ндфл в 2026 году	1483	01 Общие (заполнить/подать 3-НДФЛ)
можно ли подать декларацию 3	1482	01 Общие (заполнить/подать 3-НДФЛ)
налоговый вычет какую декларацию подавать	1479	01 Общие (заполнить/подать 3-НДФЛ)
за какой год подавать декларацию	1464	01 Общие (заполнить/подать 3-НДФЛ)
возврат подоходного налога в 2026 году	1446	01 Общие (заполнить/подать 3-НДФЛ)
